FIGI,Name
TCS4387E2054,X5 RetailGroup ГДР
BBG004S68B31,АЛРОСА
BBG004S683W7,Аэрофлот
BBG004730ZJ9,Банк ВТБ
BBG00F6NKQX3,ГК Самолет
BBG004730RP0,Газпром
BBG004S684M6,Газпром нефть
BBG008F2T3T2,РУСАЛ
BBG004731032,ЛУКОЙЛ
TCS90A0JQUZ6,РусАгро
BBG004RVFCY3,Магнит
BBG0047315D0,Сургутнефтегаз
BBG004S681B4,НЛМК
BBG00475KKY8,НОВАТЭК
BBG004731489,Норильский никель
BBG004RVFFC0,Татнефть
BBG004731354,Роснефть
BBG004S682Z6,Ростелеком
BBG004730N88,Сбер Банк
TCS609805522,Яндекс
BBG000BBQCY0,AMD
BBG000BB5006,Adobe
BBG009S39JX6,Alphabet Class A
BBG000BVPV84,Amazon.com
BBG000B9XRY4,Apple
BBG000DWG505,Berkshire Hathaway
BBG00KHY5S69,Broadcom
BBG000BMX289,COCA-COLA
BBG000BB0V03,Camden Property REIT
BBG000K4ND22,Chevron
BBG000C3J3C9,Cisco
BBG000F6H8W8,Costco Wholesale
BBG000GZQ728,Exxon Mobil Corporation
BBG000C0G1D1,Intel Corporation
BBG000DMBXR2,JPMorgan
BBG000BMHYD1,Johnson & Johnson
BBG000F1ZSQ2,Mastercard
BBG000BNSZP1,McDonald’s
BBG000BPH459,Microsoft Corporation
BBG000BBJQV0,NVIDIA
